Altria Group Inc.,MO,2.860,2.490,2.305,2.125,1.960,1.800,,1.670,1.550,,1.420,1.300,1.159,0.857,0.771,0.711,0.655,0.613,0.567,0.516,0.469,0.427,26.225,14.9,8.0,8.5,8.4,8.9,7.8,7.7,9.2,9.2,12.2,35.2,11.1,8.5,8.5,6.8,8.2,9.9,9.9,9.8,10.7,6.2
Amdocs Limited,DOX,0.970,0.855,0.755,0.665,0.595,0.520,,0.130,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.490,13.5,13.2,13.5,11.8,14.4,300.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61.1,117.1
Ameren Corp,AEE,1.848,1.7775,1.715,1.655,1.61,1.6,,1.6,1.555,,1.54,1.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,41.840,3.9,3.6,3.6,2.8,0.6,0.0,2.9,1.0,0.0,-39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,9.4
American Assets Trust Inc.,AAT,1.090,1.050,1.010,0.948,0.893,0.850,,0.840,0.800,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.480,3.8,4.0,6.6,6.2,5.0,1.2,5.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.5,1.8
American Campus Communities,ACC,1.820,1.740,1.660,1.580,1.500,1.418,,1.350,1.350,,1.350,1.350,1.350,1.350,1.350,1.350,0.165,0.000,0.000,0.000,0.000,0.000,20.683,4.6,4.8,5.1,5.3,5.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.7,n/a,n/a,n/a,n/a,n/a,53.5,191.2
American Electric Power Co.,AEP,2.530,2.390,2.270,2.150,2.030,1.950,,1.880,1.850,,1.710,1.640,1.640,1.580,1.500,1.420,1.400,1.650,2.400,2.400,2.400,2.400,39.190,5.9,5.3,5.6,5.9,4.1,3.7,1.6,8.2,4.3,0.0,3.8,5.3,5.6,1.4,-15.2,-31.3,0.0,0.0,0.0,0.8,9.2
American Equity Investment Life Holding Co.,AEL,0.280,0.260,0.240,0.220,0.200,0.180,,0.150,0.120,,0.100,0.080,0.070,0.060,0.050,0.040,0.020,0.010,0.010,0.010,0.010,0.010,2.120,7.7,8.3,9.1,10.0,11.1,20.0,25.0,20.0,25.0,14.3,16.7,20.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,21.7,28.9
American Express Company,AXP,1.440,1.310,1.190,1.100,0.980,0.860,,0.780,0.720,,0.720,0.720,0.720,0.600,0.540,0.435,0.368,0.315,0.280,0.280,0.276,0.263,13.896,9.9,10.1,8.2,12.2,14.0,10.3,8.3,0.0,0.0,0.0,20.0,11.1,24.1,18.4,16.7,12.5,0.0,1.6,5.0,9.6,7.2
American Financial Group Inc.,AFG,1.450,1.288,1.153,1.030,0.910,0.805,,0.720,0.663,,0.575,0.520,0.500,0.400,0.368,0.333,0.333,0.333,0.333,0.667,0.667,0.667,13.714,12.6,11.7,11.9,13.2,13.0,11.8,8.7,15.2,10.6,4.0,25.0,8.7,10.4,0.0,0.0,0.0,-50.0,0.0,0.0,5.6,15.0
American States Water,AWR,1.060,0.994,0.914,0.874,0.830,0.760,,0.635,0.550,,0.520,0.505,0.500,0.478,0.465,0.450,0.443,0.440,0.436,0.433,0.428,0.427,12.141,6.6,8.8,4.6,5.3,9.2,19.7,15.5,5.8,3.0,1.0,4.7,2.7,3.3,1.7,0.6,1.0,0.5,1.2,0.4,5.0,5.2
American Tower Corp.,AMT,3.010,2.640,2.200,1.810,1.400,1.100,,0.900,0.350,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.410,14.0,20.0,21.5,29.3,27.3,22.2,157.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41.6,51.2
American Water Works,AWK,1.780,1.620,1.465,1.330,1.210,1.090,#,0.960,0.900,,0.860,0.820,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.435,9.9,10.6,10.2,9.9,11.0,13.5,6.7,4.7,4.9,105.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.6,30.5
AmeriGas Partners LP,APU,3.800,3.790,3.740,3.640,3.480,3.320,,3.163,2.925,,2.785,2.650,2.530,2.410,2.300,2.230,2.200,2.200,2.200,2.200,2.200,2.200,55.963,0.3,1.3,2.7,4.6,4.8,5.0,8.1,5.0,5.1,4.7,5.0,4.8,3.1,1.4,0.0,0.0,0.0,0.0,0.0,2.9,2.5
Ameriprise Financial Inc.,AMP,3.530,3.240,2.920,2.590,2.260,2.010,,1.430,0.870,,0.710,0.680,0.660,0.560,0.440,0.110,0.000,0.000,0.000,0.000,0.000,0.000,22.010,9.0,11.0,12.7,14.6,12.4,40.6,64.4,22.5,4.4,3.0,17.9,27.3,300.0,n/a,n/a,n/a,n/a,n/a,n/a,41.5,79.4
Amerisafe Inc.,AMSF,0.880,0.800,0.720,0.600,0.480,0.320,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.800,10.0,11.1,20.0,25.0,50.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.2,16.2
AmerisourceBergen Corp.,ABC,1.540,1.475,1.385,1.210,0.995,0.865,,0.600,0.460,,0.340,0.240,0.163,0.113,0.063,0.031,0.025,0.025,0.025,0.006,0.000,0.000,9.560,4.4,6.5,14.5,21.6,15.0,44.2,30.4,35.3,41.7,47.7,44.4,80.0,100.0,25.0,0.0,0.0,300.0,n/a,n/a,47.7,70.5
Ames National Corp.,ATLO,0.910,0.870,0.830,0.780,0.700,0.630,,0.580,0.500,,0.430,0.580,1.110,1.070,1.030,0.913,0.633,0.600,0.547,0.000,0.000,0.000,12.713,4.6,4.8,6.4,11.4,11.1,8.6,16.0,16.3,-25.9,-47.7,3.7,3.9,12.8,44.2,5.6,9.8,n/a,n/a,n/a,5.3,19.5
Amgen Inc.,AMGN,5.280,4.600,4.000,3.160,2.440,1.880,,1.440,0.560,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.360,14.8,15.0,26.6,29.5,29.8,30.6,157.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43.3,50.6
Amphenol Corp.,APH,0.840,0.670,0.560,0.515,0.425,0.258,,0.165,0.030,,0.030,0.030,0.030,0.030,0.030,0.023,0.000,0.000,0.000,0.000,0.000,0.000,3.635,25.4,19.6,8.7,21.2,65.0,56.1,450.0,0.0,0.0,0.0,0.0,0.0,33.3,n/a,n/a,n/a,n/a,n/a,n/a,52.3,121.5
Analog Devices Inc.,ADI,1.920,1.800,1.680,1.600,1.480,1.360,,1.200,0.970,,0.860,0.800,0.780,0.720,0.600,0.360,0.220,0.040,0.000,0.000,0.000,0.000,16.390,6.7,7.1,5.0,8.1,8.8,13.3,23.7,12.8,7.5,2.6,8.3,20.0,66.7,63.6,450.0,n/a,n/a,n/a,n/a,47.0,113.3
Andeavor Logistics LP,ANDX,4.075,3.806,3.307,2.835,2.413,2.018,,1.605,0.595,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.653,7.1,15.1,16.6,17.5,19.6,25.7,169.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.8,58.0
Andersons Inc. (The),ANDE,0.660,0.640,0.620,0.560,0.440,0.427,,0.400,0.293,,0.238,0.232,0.217,0.147,0.118,0.110,0.103,0.097,0.087,0.087,0.080,0.067,5.622,3.1,3.2,10.7,27.3,3.1,6.7,36.4,23.1,2.9,6.9,47.7,23.9,7.6,6.5,6.9,11.5,0.0,8.3,20.0,13.5,12.9
Anthem Inc.,ANTM,3.000,2.700,2.600,2.500,1.750,1.500,,1.150,1.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.200,11.1,3.8,4.0,42.9,16.7,30.4,15.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.7,14.3
Aon plc,AON,1.560,1.410,1.290,1.150,0.925,0.683,,0.623,0.600,,0.600,0.600,0.600,0.600,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.940,10.6,9.3,12.2,24.3,35.5,9.6,3.8,0.0,0.0,0.0,0.0,100.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.1,28.3
Apartment Investment & Management Co.,AIV,1.520,1.440,1.320,1.180,1.040,0.960,,0.760,0.480,,0.400,0.907,2.400,2.400,2.400,2.400,2.400,3.060,3.280,3.120,2.800,2.500,36.767,5.6,9.1,11.9,13.5,8.3,26.3,58.3,20.0,-55.9,-62.2,0.0,0.0,0.0,0.0,-21.6,-6.7,5.1,11.4,12.0,1.8,26.6
Apogee Enterprises Inc.,APOG,0.630,0.560,0.500,0.440,0.400,0.360,,0.352,0.326,,0.326,0.326,0.304,0.277,0.263,0.253,0.243,0.233,0.223,0.213,0.210,0.210,6.645,12.5,12.0,13.6,10.0,11.1,2.4,7.8,0.0,0.0,7.4,9.8,5.3,4.0,4.1,4.3,4.5,4.7,1.2,0.0,6.0,4.5
Apollo Bancorp Inc.,APLO,2.000,1.970,1.930,1.890,1.850,1.720,,1.630,1.520,,1.260,1.440,1.680,1.640,1.600,1.600,1.590,1.520,1.440,1.400,1.320,1.240,32.240,1.5,2.1,2.1,2.2,7.6,5.5,7.2,20.6,-12.5,-14.3,2.4,2.5,0.0,0.6,4.6,5.6,2.9,6.1,6.5,2.8,7.2
Apple Inc.,AAPL,2.820,2.460,2.230,2.030,1.846,1.686,,0.757,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.829,14.6,10.3,9.9,10.0,9.5,122.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,29.5,45.7
Applied Industrial Technologies Inc.,AIT,1.200,1.160,1.120,1.080,1.000,0.920,,0.840,0.740,,0.640,0.600,0.600,0.540,0.460,0.340,0.230,0.213,0.213,0.213,0.213,0.213,12.537,3.4,3.6,3.7,8.0,8.7,9.5,13.5,15.6,6.7,0.0,11.1,17.4,35.3,47.8,7.8,0.0,0.0,0.0,0.0,10.1,12.5
AptarGroup Inc.,ATR,1.320,1.280,1.220,1.140,1.090,1.000,,0.880,0.800,,0.660,0.600,0.560,0.500,0.420,0.350,0.220,0.125,0.120,0.110,0.100,0.090,12.585,3.1,4.9,7.0,4.6,9.0,13.6,10.0,21.2,10.0,7.1,12.0,19.0,20.0,59.1,76.0,4.2,9.1,10.0,11.1,16.4,19.0
Aqua America Inc.,WTR,0.848,0.792,0.739,0.686,0.634,0.584,,0.536,0.504,,0.472,0.440,0.408,0.384,0.355,0.320,0.294,0.274,0.258,0.242,0.225,0.204,9.199,7.1,7.2,7.7,8.2,8.6,9.0,6.3,6.8,7.3,7.8,6.3,8.2,11.1,8.7,7.5,6.0,6.5,7.4,10.3,7.8,1.3
Aramark Services Inc.,ARMK,0.425,0.414,0.388,0.354,0.311,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.892,2.7,6.7,9.7,13.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.2,4.6
Arbor Realty Trust Inc.,ABR,0.980,0.720,0.620,0.580,0.520,0.500,,0.285,0.000,,0.000,0.000,2.100,2.460,2.570,2.240,0.780,0.000,0.000,0.000,0.000,0.000,14.355,36.1,16.1,6.9,11.5,4.0,75.4,n/a,n/a,n/a,-100.0,-14.6,-4.3,14.7,187.2,n/a,n/a,n/a,n/a,n/a,21.2,69.3
Archer Daniels Midland,ADM,1.340,1.280,1.200,1.120,0.960,0.760,,0.700,0.655,,0.600,0.560,0.520,0.460,0.400,0.340,0.300,0.240,0.220,0.193,0.184,0.175,12.206,4.7,6.7,7.1,16.7,26.3,8.6,6.9,9.2,7.1,7.7,13.0,15.0,17.6,13.3,25.0,9.1,14.1,5.0,5.0,11.5,6.4
Argo Group International Holdings Ltd.,ARGO,1.080,0.939,0.765,0.696,0.600,0.522,,0.417,0.417,,0.417,0.000,0.000,0.000,0.000,0.365,0.209,0.209,0.209,0.209,0.209,0.391,7.654,15.0,22.7,10.0,15.9,15.0,25.0,0.0,0.0,n/a,n/a,n/a,n/a,-100.0,75.0,0.0,0.0,0.0,0.0,-46.7,2.1,37.5
Armada Hoffler Properties Inc.,AHH,0.790,0.750,0.710,0.670,0.640,0.160,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.720,5.3,5.6,6.0,4.7,300.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64.3,131.7
Armanino Foods of Distinction Inc.,AMNF,0.088,0.080,0.078,0.073,0.066,0.052,,0.048,0.042,,0.033,0.030,0.029,0.026,0.025,0.020,0.020,0.020,0.020,0.018,0.005,0.000,0.772,9.4,2.6,6.8,10.6,26.9,8.3,14.3,27.3,10.0,4.3,10.6,6.1,22.5,0.0,0.0,0.0,11.1,260.0,n/a,23.9,59.5
Arrow Financial Corp.,AROW,1.020,0.978,0.950,0.929,0.911,0.906,,0.875,0.852,,0.803,0.780,0.766,0.727,0.705,0.671,0.630,0.575,0.520,0.455,0.399,0.353,14.802,4.3,3.0,2.3,2.0,0.5,3.5,2.7,6.1,3.0,1.8,5.4,3.0,5.2,6.4,9.7,10.6,14.3,13.9,13.2,5.8,4.4
Artesian Resources,ARTNA,0.955,0.927,0.900,0.873,0.848,0.823,,0.796,0.762,,0.753,0.723,0.707,0.664,0.613,0.581,0.553,0.533,0.516,0.493,0.487,0.471,13.977,3.0,3.0,3.0,3.0,3.1,3.3,4.4,1.3,4.2,2.2,6.5,8.2,5.7,4.9,3.9,3.3,4.5,1.4,3.3,3.8,1.7
Arthur J. Gallagher & Co.,AJG,1.640,1.560,1.520,1.480,1.440,1.400,,1.360,1.320,,1.280,1.280,1.280,1.240,1.200,1.120,1.000,0.720,0.580,0.520,0.460,0.400,22.800,5.1,2.6,2.7,2.8,2.9,2.9,3.0,3.1,0.0,0.0,3.2,3.3,7.1,12.0,38.9,24.1,11.5,13.0,15.0,8.1,9.7
Ashland Global Holdings Inc.,ASH,0.975,0.866,0.763,0.739,0.665,0.609,,0.416,0.330,,0.257,0.147,0.440,0.538,0.538,0.491,0.444,0.444,0.444,0.444,0.438,0.419,10.407,12.6,13.4,3.3,11.0,9.2,46.5,25.9,28.6,75.0,-66.7,-18.2,0.0,9.6,10.7,0.0,0.0,0.0,1.4,4.3,8.8,27.3
Associated Banc-Corp,ASB,0.620,0.500,0.450,0.410,0.370,0.330,,0.230,0.040,,0.040,0.470,1.270,1.220,1.140,1.060,0.977,0.887,0.808,0.739,0.671,0.639,12.871,24.0,11.1,9.8,10.8,12.1,43.5,475.0,0.0,-91.5,-63.0,4.1,7.0,7.5,8.5,10.1,9.8,9.3,10.2,5.0,26.5,112.6
Assurant Inc.,AIZ,2.280,2.150,2.030,1.370,1.060,0.960,,0.810,0.700,,0.630,0.590,0.540,0.460,0.380,0.310,0.210,0.000,0.000,0.000,0.000,0.000,14.480,6.0,5.9,48.2,29.2,10.4,18.5,15.7,11.1,6.8,9.3,17.4,21.1,22.6,47.6,n/a,n/a,n/a,n/a,n/a,19.3,13.9
Assured Guaranty Ltd.,AGO,0.640,0.570,0.520,0.480,0.440,0.400,,0.360,0.180,,0.180,0.180,0.180,0.160,0.140,0.120,0.060,0.000,0.000,0.000,0.000,0.000,4.610,12.3,9.6,8.3,9.1,10.0,11.1,100.0,0.0,0.0,0.0,12.5,14.3,16.7,100.0,n/a,n/a,n/a,n/a,n/a,21.7,33.6
