Name,Symbol,Sector,Industry,Yrs,Seq,DR,SP,Price,Yield,Dividend,Year,Annualized,Sch,Payout,Ex-Div,Pay,Inc.,1-yr,3-yr,5-yr,10-yr,A/D*,DEG,Notes,Payout,P/E,Month,EPS,PEG,P/Sales,P/Book,ROE,Growth,Growth,Growth,Growth,($Mil),Own.,Equity,Factor,Rule,Graham,2019,2020,2021,2022,2023,$,%,Beta,Low,High,MMA,MMA,OTC,Began,Survived,ROA
AmerisourceBergen Corp.,ABC,Health Care,Health Care Providers & Services,14,277,-,-,83.37,1.92,0.4000,4,1.60,C04,0.3800,11-16-18,12-3-18,5.26,4.4 ,8.4 ,12.2 ,25.2 ,0.485 ,0.647,,32.19,16.77,9,4.97,1.79,0.10,6.12,54.90,202.40,9.47,18.90,9.38,"17,480",0.2,1.59,(2.6),14.1 ,113.6 ,1.69,1.85,2.03,2.22,2.43,10.22,12.3,1.07 ,20.2,-19.1,3.6,-3.0,,2006,1,4.4
Analog Devices Inc.,ADI,Information Technology,Semiconductors & Semiconductor Equipment,16,204,-,-,98.86,1.94,0.4800,4,1.92,C20,0.4500,3-8-18,3-20-18,6.67,6.7 ,6.3 ,7.1 ,9.4 ,0.757 ,0.514,,46.72,24.05,10,4.11,2.57,5.92,3.34,13.90,99.00,8.30,13.90,9.34,"36,690",0.1,0.58,(15.0),9.1 ,89.0 ,2.11,2.29,2.50,2.73,2.99,12.62,12.8,1.19 ,29.0,-4.6,11.8,7.3,,2003,1,7.2
Andersons Inc. (The),ANDE,Consumer Staples,Food & Staples Retailing,17,198,N,Y,35.05,1.94,0.1700,4,0.68,A23,0.1650,12-31-18,1-23-19,3.03,3.1 ,5.6 ,9.1 ,11.8 ,0.774 ,n/a,,138.78,71.53,12,0.49,8.94,0.31,1.22,10.80,-368.80,64.62,-19.00,8.00,993,2.5,0.72,(60.5),11.1 ,96.9 ,0.67,0.73,0.79,0.86,0.92,3.97,11.3,1.21 ,26.9,-16.0,8.8,0.9,,2003,1,4
Applied Industrial Technologies Inc.,AIT,Industrials,Trading Companies & Distributors,10,336,N,Y,59.01,2.10,0.3100,4,1.24,B28,0.3000,2-14-19,2-28-19,3.33,3.4 ,3.6 ,5.5 ,7.2 ,0.760 ,1.213,,32.80,15.61,6,3.78,1.30,0.67,2.62,17.30,1.70,8.75,4.50,12.00,"2,280",1.2,1.12,(8.1),7.6 ,34.8 ,1.22,1.33,1.46,1.61,1.77,7.38,12.5,1.25 ,16.7,-28.3,0.2,-14.8,,2010,0,6.9
Armanino Foods of Distinction Inc.,AMNF,Consumer Staples,Food Products,13,284,-,-,3.08,2.92,0.0225,4,0.09,A27,0.0200,3-29-18,4-27-18,12.50,9.4 ,6.2 ,11.0 ,11.8 ,0.932 ,n/a,,45.00,15.40,12,0.20,n/a,2.37,5.53,40.40,n/a,n/a,n/a,n/a,98,9.9,0.18,(1.5),13.9 ,94.6 ,0.09,0.09,0.10,0.10,0.10,0.48,15.5,0.18 ,31.6,-0.3,5.8,10.8,OTC,2006,1,29.62
Assurant Inc.,AIZ,Financials,Insurance,15,251,-,-,96.39,2.49,0.6000,4,2.40,C18,0.5600,11-23-18,12-17-18,7.14,6.0 ,18.5 ,18.9 ,15.5 ,1.219 ,10.493,,38.28,15.37,12,6.27,0.79,0.82,1.18,11.00,-32.10,55.58,1.80,19.40,"6,050",0.5,0.38,6.0 ,21.4 ,(10.2),2.30,2.53,2.79,3.07,3.37,14.06,14.6,0.61 ,17.1,-13.5,3.6,-2.7,,2005,1,1.4
Atrion Corp.,ATRI,Health Care,Health Care Equipment & Supplies,16,214,-,-,745.84,0.72,1.3500,4,5.40,C29,1.2000,9-13-18,9-28-18,12.50,13.3 ,15.6 ,16.3 ,16.8 ,0.969 ,1.828,,31.63,43.69,12,17.07,n/a,9.16,6.74,18.10,20.20,n/a,8.90,n/a,"1,390",0.9,0.00,(26.7),17.0 ,261.8 ,5.61,5.78,5.95,6.13,6.31,29.78,4.0,0.51 ,44.3,-6.4,0.1,12.2,,2003,1,16.3
Auburn National Bancorp,AUBN,Financials,Banks,17,182,N,N,32.56,2.95,0.2400,4,0.96,C26,0.2300,3-8-18,3-26-18,4.35,4.3 ,2.9 ,2.7 ,2.6 ,1.026 ,0.677,,40.51,13.74,12,2.37,n/a,4.15,1.39,9.60,0.80,n/a,4.00,n/a,120,20.5,0.00,(8.1),5.7 ,(7.9),0.97,1.00,1.03,1.06,1.09,5.14,15.8,0.41 ,16.5,-39.7,-6.9,-22.5,,2002,1,1
Avista Corp.,AVA,Utilities,Multi-Utilities,16,202,N,N,41.85,3.56,0.3725,4,1.49,C15,0.3575,2-22-18,3-15-18,4.20,4.2 ,4.1 ,4.1 ,8.0 ,0.510 ,0.474,Bg Acqd-2H18,76.41,21.46,12,1.95,3.80,1.92,1.57,6.80,-9.50,6.93,8.60,5.65,"2,730",0.7,1.11,(13.8),7.6 ,22.4 ,1.50,1.61,1.70,1.80,1.90,8.51,20.3,0.40 ,4.8,-20.9,-7.0,-16.3,,2003,1,2.1
Axis Capital Holdings Ltd.,AXS,Financials,Insurance,17,197,-,-,53.55,2.99,0.4000,4,1.60,A16,0.3900,12-28-18,1-15-19,2.56,2.6 ,10.4 ,9.3 ,7.7 ,1.201 ,n/a,,66.39,22.22,12,2.41,4.44,0.86,0.99,3.60,-187.50,117.88,-25.50,5.00,"4,470",2.1,0.31,(9.9),12.3 ,(1.1),1.58,1.73,1.82,1.91,2.01,9.05,16.9,0.44 ,12.9,-11.8,0.2,-4.2,,2003,1,0.6
Balchem Inc.,BCPC,Materials,Chemicals,10,331,-,-,83.02,0.57,0.4700,1,0.47,Jan,0.4200,12-24-18,1-18-19,11.90,10.5 ,11.9 ,13.8 ,19.1 ,0.724 ,1.605,,20.52,36.25,12,2.29,1.51,4.17,3.89,15.40,13.60,-2.94,8.60,24.00,"2,670",0.2,0.26,(21.9),14.4 ,150.4 ,0.46,0.47,0.51,0.56,0.62,2.63,3.2,0.93 ,18.2,-29.5,1.9,-12.8,,2010,0,10.3
Bank of Marin Bancorp,BMRC,Financials,Banks,15,255,-,-,41.94,1.81,0.1900,4,0.76,B18,0.1750,2-7-19,2-15-19,8.57,13.4 ,12.2 ,11.7 ,8.5 ,1.372 ,n/a,Adj. Split,38.97,21.51,12,1.95,3.08,6.40,1.89,8.00,-20.00,11.72,-1.60,7.00,581,1.1,0.02,(8.0),13.5 ,34.4 ,0.64,0.71,0.75,0.81,0.86,3.77,9.0,0.58 ,32.1,-7.7,1.8,1.8,,2005,1,1
Bank of Utica,BKUTK,Financials,Banks,19,174,-,-,437.00,3.43,7.5000,2,15.00,JaJl,7.2000,12-28-18,1-8-19,4.17,5.1 ,5.7 ,6.1 ,7.0 ,0.871 ,n/a,,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.6 ,n/a,14.83,15.28,15.74,16.21,16.69,78.75,18.0,n/a,n/a,n/a,n/a,n/a,OTC,2001,2,n/a
Bank OZK,OZK,Financials,Banks,23,149,-,-,30.34,2.90,0.2200,4,0.88,A20,0.2000,1-14-19,1-22-19,10.00,12.0 ,13.1 ,17.2 ,20.3 ,0.845 ,0.620,Formerly OZRK,27.16,9.36,12,3.24,0.78,3.55,1.07,13.20,45.40,2.74,27.70,12.00,"3,910",1.4,0.09,10.7 ,20.1 ,(33.3),0.87,0.90,0.99,1.09,1.20,5.04,16.6,1.88 ,44.3,-43.5,17.8,-18.8,,1997,2,2.1
Bar Harbor Bankshares,BHB,Financials,Banks,15,241,Y,Y,23.93,3.34,0.2000,4,0.80,C14,0.1867,5-11-18,6-14-18,7.14,5.4 ,5.3 ,7.2 ,5.7 ,1.271 ,1.060,,34.63,10.36,12,2.31,n/a,2.97,1.04,8.90,20.10,n/a,6.80,n/a,371,0.9,0.12,0.2 ,10.5 ,(30.8),0.87,0.89,0.92,0.95,0.97,4.59,19.2,0.82 ,12.6,-22.7,1.2,-13.4,,2004,1,0.9
Best Buy Corp.,BBY,Consumer Discretionary,Specialty Retail,15,236,Y,Y,59.24,3.04,0.4500,4,1.80,A12,0.3400,3-21-18,4-12-18,32.35,32.4 ,25.1 ,21.5 ,13.0 ,1.653 ,0.434,,37.82,12.45,2,4.76,0.77,0.36,5.40,33.00,11.60,5.85,49.50,16.27,"15,470",0.1,0.44,12.1 ,24.5 ,72.8 ,1.98,2.10,2.31,2.54,2.79,11.71,19.8,0.94 ,24.1,-29.8,2.3,-16.3,,2004,1,8.4
BOK Financial Corp.,BOKF,Financials,Banks,14,267,N,N,83.11,2.41,0.5000,4,2.00,B27,0.4500,8-10-18,8-27-18,11.11,7.3 ,4.0 ,4.3 ,8.1 ,0.532 ,7.152,,31.06,12.91,12,6.44,1.84,5.32,1.49,11.50,50.00,10.87,0.60,7.00,"5,950",53.5,0.05,(6.2),6.7 ,(7.6),2.09,2.30,2.46,2.63,2.82,12.30,14.8,1.16 ,18.8,-22.3,4.9,-11.1,,2005,1,1.2
Brinker International,EAT,Consumer Discretionary,"Hotels, Restaurants & Leisure",13,281,-,-,40.52,3.75,0.3800,4,1.52,C28,0.3400,9-7-17,9-28-17,11.76,5.6 ,8.2 ,11.6 ,13.2 ,0.875 ,2.063,"FY Streak, FY 2018 = Year 13",44.97,11.99,6,3.38,2.01,0.50,n/a,-21.10,-1.50,5.38,5.60,5.97,"1,580",1.3,n/a,3.3 ,15.3 ,n/a,1.54,1.62,1.71,1.82,1.93,8.61,21.2,0.35 ,26.5,-25.2,-15.5,-13.1,,2006,1,10.7
Bristol-Myers Squibb Co.,BMY,Health Care,Pharmaceuticals,10,334,Y,Y,49.37,3.32,0.4100,4,1.64,B01,0.4000,1-3-19,2-1-19,2.50,2.6 ,2.6 ,2.7 ,2.6 ,1.048 ,0.177,,53.59,16.13,8,3.06,1.78,3.58,5.91,3.00,-10.90,6.10,15.30,9.10,"80,730",0.2,0.54,(10.1),6.0 ,105.9 ,1.62,1.71,1.87,2.04,2.23,9.47,19.2,0.87 ,11.4,-29.5,-2.7,-9.8,,2010,0,1.1
Broadridge Financial Solutions Inc.,BR,Information Technology,IT Services,12,298,-,-,100.83,1.92,0.4850,4,1.94,A03,0.3650,9-17-18,10-3-18,32.88,16.6 ,12.5 ,16.1 ,20.2 ,0.794 ,0.957,,49.74,25.85,12,3.90,2.58,2.68,9.51,39.90,36.10,9.76,16.80,10.00,"11,740",0.7,0.00,(7.9),18.0 ,230.6 ,1.74,1.91,2.10,2.31,2.54,10.59,10.5,0.89 ,15.2,-27.1,1.9,-12.1,,2007,1,13.6
Brookfield Infrastructure Partners LP,BIP,Utilities,Multi-Utilities,11,307,-,-,39.16,4.80,0.4700,4,1.88,C29,0.4350,2-27-18,3-29-18,8.05,8.0 ,10.0 ,10.4 ,12.3 ,0.844 ,0.249,"Bermuda,US$",303.23,63.16,12,0.62,4.08,3.59,2.07,3.10,-103.70,35.11,41.70,15.61,"15,120",42.3,2.21,(48.0),15.2 ,141.1 ,1.90,2.09,2.30,2.53,2.78,11.59,29.6,0.99 ,21.4,-8.9,4.8,0.5,,2008,1,0.6
Bunge Limited,BG,Consumer Staples,Food Products,18,178,-,-,55.07,3.63,0.5000,4,2.00,C05,0.4600,8-21-18,9-5-18,8.70,9.1 ,10.1 ,11.0 ,10.3 ,1.066 ,n/a,,114.94,31.65,12,1.74,3.13,0.17,1.39,4.00,-76.80,64.03,-14.90,10.10,"7,740",3.0,1.31,(17.0),14.6 ,39.8 ,1.94,2.13,2.35,2.58,2.84,11.84,21.5,0.96 ,7.7,-33.8,-1.5,-15.0,,2001,2,1.1
C.H. Robinson Worldwide,CHRW,Industrials,Air Freight & Logistics,21,159,-,-,86.77,2.30,0.5000,4,2.00,C29,0.4600,12-14-18,12-31-18,8.70,3.9 ,6.2 ,6.1 ,7.9 ,0.770 ,n/a,,45.35,19.68,12,4.41,1.31,0.73,7.69,42.00,-2.90,8.29,-1.00,14.99,"12,040",0.9,0.90,(11.3),8.4 ,159.3 ,1.90,2.06,2.26,2.49,2.74,11.44,13.2,0.64 ,10.1,-14.3,0.3,-3.8,,1999,2,14.4
Cambridge Bancorp,CATC,Financials,Banks,21,161,-,-,76.10,2.68,0.5100,4,2.04,B22,0.5000,2-6-19,2-21-19,2.00,5.4 ,2.9 ,4.3 ,4.4 ,0.982 ,n/a,,35.29,13.17,12,5.78,n/a,3.00,1.83,3.08,n/a,n/a,n/a,n/a,306,3.8,0.56,(6.2),7.0 ,3.5 ,2.02,2.08,2.14,2.21,2.27,10.72,14.1,0.20 ,6.7,-19.9,-6.3,-11.8,,1999,2,0.25
Canadian National Railway,CNI,Industrials,Road & Rail,24,142,-,-,83.52,1.96,0.4100,4,1.64,C29,0.3520,3-7-19,3-29-19,16.48,9.0 ,12.2 ,10.9 ,12.4 ,0.879 ,0.425,"@,Canada",21.58,10.99,12,7.60,1.22,5.92,4.64,34.00,104.90,14.20,25.60,9.03,"61,200",0.2,0.68,1.8 ,12.8 ,50.5 ,1.53,1.68,1.84,2.00,2.18,9.23,11.1,1.08 ,18.7,-9.1,4.6,0.2,,1998,2,14.8
Cantel Medical Corp.,CMD,Health Care,Health Care Equipment & Supplies,10,333,-,-,81.42,0.25,0.1000,2,0.20,JaJl,0.0850,1-16-19,1-31-19,17.65,21.4 ,19.3 ,18.3 ,n/a,n/a,1.167,,10.47,42.63,7,1.91,2.37,3.82,5.45,14.40,15.40,13.36,15.70,18.00,"3,380",9.3,0.31,(24.1),18.6 ,221.3 ,0.19,0.21,0.23,0.25,0.27,1.14,1.4,1.15 ,17.4,-37.8,2.8,-13.4,,2010,0,9.3
Cardinal Health Inc.,CAH,Health Care,Health Care Providers & Services,23,146,-,-,49.97,3.81,0.4763,4,1.91,A15,0.4624,6-30-18,7-15-18,3.01,2.9 ,8.7 ,10.2 ,17.5 ,0.582 ,n/a,,n/a,n/a,6,-0.52,n/a,0.11,2.58,10.80,-150.40,6.26,-32.50,5.20,"15,240",0.5,1.52,n/a,14.0 ,n/a,1.89,2.01,2.12,2.23,2.34,10.60,21.2,1.17 ,18.5,-32.6,0.5,-4.5,,1996,2,1.8
Casey's General Stores Inc.,CASY,Consumer Staples,Food & Staples Retailing,19,170,N,N,128.68,0.90,0.2900,4,1.16,B15,0.2600,7-31-18,8-15-18,11.54,10.0 ,9.4 ,9.8 ,14.7 ,0.667 ,1.358,,24.47,27.15,12,4.74,1.94,0.51,3.48,26.60,-15.30,3.14,7.20,14.00,"4,720",0.4,0.96,(16.5),10.7 ,104.9 ,1.11,1.15,1.26,1.39,1.53,6.43,5.0,0.48 ,42.3,-6.1,-0.3,10.6,,2000,2,10
Cass Information Systems Inc.,CASS,Information Technology,IT Services,17,184,Y,Y,49.09,2.12,0.2600,4,1.04,C15,0.2182,6-4-18,6-15-18,19.17,20.6 ,9.7 ,8.7 ,10.7 ,0.809 ,2.894,Adj/Stk Div,51.23,24.18,12,2.03,n/a,4.89,3.14,12.60,10.20,n/a,3.00,n/a,725,3.1,1.59,(13.4),10.8 ,83.7 ,0.94,0.96,0.99,1.02,1.05,4.96,10.1,0.60 ,8.4,-25.8,-8.8,-10.6,,2002,1,1.7
CCFNB Bancorp Inc.,CCFN,Financials,Banks,21,157,Y,Y,49.75,3.06,0.3800,4,1.52,C15,0.3700,5-25-18,6-14-18,2.70,2.7 ,2.3 ,2.3 ,5.3 ,0.427 ,n/a,,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.3 ,n/a,1.56,1.60,1.65,1.70,1.75,8.26,16.6,n/a,n/a,n/a,n/a,n/a,OTC,1998,2,n/a
CenterPoint Energy,CNP,Utilities,Multi-Utilities,14,257,Y,Y,30.92,3.72,0.2875,4,1.15,C08,0.2775,2-20-18,3-14-18,3.60,3.9 ,3.9 ,6.0 ,4.3 ,1.401 ,0.602,,117.35,31.55,12,0.98,3.14,1.54,2.83,32.50,57.20,7.00,10.00,10.05,"15,670",0.1,1.79,(21.8),9.7 ,99.2 ,1.22,1.31,1.44,1.58,1.74,7.30,23.6,0.41 ,24.6,1.7,7.9,12.1,,2006,1,6.9
Chemed Corp.,CHE,Health Care,Health Care Providers & Services,10,324,N,N,297.94,0.40,0.3000,4,1.20,C01,0.2800,8-10-18,8-31-18,7.14,7.4 ,8.0 ,8.8 ,17.1 ,0.517 ,2.847,,10.20,25.34,12,11.76,1.83,2.71,8.43,37.90,-17.10,5.91,3.10,13.85,"4,760",1.3,0.23,(16.1),9.2 ,208.1 ,1.17,1.24,1.36,1.50,1.65,6.93,2.3,1.22 ,22.1,-11.3,2.6,-3.9,,2009,0,22
Chesapeake Utilities,CPK,Utilities,Gas Utilities,15,243,N,N,90.57,1.63,0.3700,4,1.48,A05,0.3250,6-14-18,7-5-18,13.85,10.3 ,7.6 ,6.5 ,5.7 ,1.149 ,1.070,,48.05,29.41,12,3.08,4.90,2.13,2.92,12.90,-6.50,8.32,6.10,6.00,"1,480",0.8,1.02,(21.2),8.2 ,95.4 ,1.40,1.52,1.61,1.71,1.81,8.06,8.9,0.23 ,36.5,-3.0,6.3,10.0,,2004,1,4.5
Church & Dwight,CHD,Consumer Staples,Household Products,22,151,Y,Y,64.61,1.35,0.2175,4,0.87,C01,0.1900,2-14-18,3-1-18,14.47,14.7 ,9.2 ,9.3 ,26.2 ,0.353 ,1.103,,39.01,28.97,12,2.23,2.62,3.92,6.74,37.20,4.90,8.48,8.40,11.09,"16,090",0.2,0.89,(18.4),10.6 ,194.6 ,0.91,0.99,1.09,1.20,1.32,5.52,8.5,0.24 ,44.0,-7.0,-1.9,12.7,,1997,2,14
Citizens Financial Services,CZFS,Financials,Banks,20,167,-,-,57.10,3.08,0.4400,4,1.76,C30,0.4350,9-13-18,9-28-18,1.15,2.9 ,2.4 ,7.7 ,7.3 ,1.054 ,n/a,,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.8 ,n/a,1.80,1.86,1.91,1.97,2.03,9.57,16.8,n/a,n/a,n/a,n/a,n/a,OTC,1999,2,n/a
CMS Energy Corp.,CMS,Utilities,Multi-Utilities,13,294,N,N,52.14,2.93,0.3825,4,1.53,B28,0.3575,1-31-19,2-28-19,6.99,7.4 ,7.2 ,7.0 ,14.8 ,0.471 ,0.757,,62.20,21.20,12,2.46,2.99,2.20,3.10,11.80,9.60,6.98,9.20,7.09,"15,030",0.4,2.36,(11.3),9.9 ,70.9 ,1.57,1.67,1.79,1.92,2.06,9.01,17.3,0.16 ,28.8,-3.1,2.5,7.5,,2007,1,2.3
Columbia Sportswear Co.,COLM,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",13,292,-,-,89.19,1.08,0.2400,4,0.96,C22,0.2200,11-14-18,11-29-18,9.09,23.3 ,13.2 ,14.6 ,10.9 ,1.342 ,6.960,,42.29,39.29,12,2.27,3.36,2.28,3.73,9.00,-40.10,13.03,2.10,11.70,"6,070",3.3,0.00,(23.6),15.7 ,155.2 ,0.91,1.00,1.10,1.21,1.33,5.55,6.2,0.67 ,26.8,-6.8,3.3,0.9,,2006,1,6.6
Comcast Corp.,CMCSA,Communication Services,Media,12,306,-,-,36.57,2.30,0.2100,4,0.84,A25,0.1900,4-2-19,4-24-19,10.53,19.3 ,14.3 ,14.2 ,22.7 ,0.627 ,1.131,,34.29,14.93,12,2.45,1.12,1.78,2.33,34.20,17.60,13.39,12.60,13.35,"168,510",0.1,1.02,1.6 ,16.5 ,24.3 ,0.80,0.88,0.97,1.07,1.17,4.89,13.4,1.07 ,20.2,-14.4,0.7,4.6,,2008,1,12.4
Comerica Inc.,CMA,Financials,Banks,10,337,N,N,78.74,3.40,0.6700,4,2.68,A01,0.6000,3-14-19,4-1-19,11.67,70.4 ,30.9 ,22.8 ,(3.5),n/a,1.881,,37.48,11.01,12,7.15,0.56,4.84,1.69,11.80,77.60,6.54,12.10,19.80,"12,670",0.1,0.82,15.2 ,26.2 ,(9.1),2.02,2.16,2.37,2.61,2.87,12.03,15.3,1.49 ,23.6,-23.3,5.2,-11.1,,2010,0,1.3
CoreSite Realty Corp.,COR,Real Estate,Equity Real Estate Investment Trusts (REITs),10,328,-,-,98.79,4.45,1.1000,4,4.40,A16,1.0300,12-28-18,1-15-19,6.80,11.7 ,33.8 ,30.1 ,n/a,n/a,0.567,,207.55,46.60,12,2.12,3.12,8.96,13.30,27.30,19.40,-0.59,53.00,14.95,"4,760",0.7,4.07,(12.1),34.5 ,424.8 ,4.42,4.47,4.91,5.40,5.94,25.15,25.5,0.71 ,19.5,-16.2,6.6,-5.3,,2010,0,4.3
Costco Wholesale,COST,Consumer Staples,Food & Staples Retailing,15,240,Y,Y,214.63,1.06,0.5700,4,2.28,B26,0.5000,5-10-18,5-25-18,14.00,13.3 ,12.4 ,12.9 ,13.5 ,0.958 ,1.433,,30.73,28.93,8,7.42,2.60,0.66,7.16,26.20,17.50,8.92,9.00,11.12,"95,100",0.4,0.00,(15.0),14.0 ,203.4 ,2.43,2.65,2.91,3.20,3.52,14.72,6.9,0.95 ,22.1,-12.5,0.4,-0.7,,2004,1,8
Cracker Barrel Old Country,CBRL,Consumer Discretionary,"Hotels, Restaurants & Leisure",16,211,N,N,167.28,2.99,1.2500,4,5.00,B04,1.2000,7-12-18,8-6-18,4.17,4.3 ,5.3 ,14.4 ,20.8 ,0.692 ,1.108,,55.19,18.46,7,9.06,46.15,1.32,6.70,40.80,7.70,5.17,13.00,0.40,"4,040",1.1,0.67,(1.1),17.4 ,134.5 ,5.28,5.55,5.57,5.59,5.62,27.61,16.5,0.50 ,18.1,-9.6,-1.4,5.8,,2003,1,16
CSX Corp.,CSX,Industrials,Road & Rail,14,258,N,N,65.70,1.34,0.2200,4,0.88,C15,0.2000,2-28-18,3-15-18,10.00,12.8 ,7.9 ,8.3 ,13.1 ,0.635 ,2.250,,22.86,17.06,12,3.85,1.46,4.56,4.07,43.40,18.90,11.97,3.70,11.68,"55,840",0.1,1.00,(7.4),9.7 ,75.7 ,0.97,1.06,1.17,1.29,1.42,5.91,9.0,1.28 ,35.7,-13.8,-1.0,-3.0,,2005,1,16.8
