Name,Symbol,Sector,Industry,Yrs,Seq,DR,SP,Price,Yield,Dividend,Year,Annualized,Sch,Payout,Ex-Div,Pay,Inc.,1-yr,3-yr,5-yr,10-yr,A/D*,DEG,Notes,Payout,P/E,Month,EPS,PEG,P/Sales,P/Book,ROE,Growth,Growth,Growth,Growth,($Mil),Own.,Equity,Factor,Rule,Graham,2019,2020,2021,2022,2023,$,%,Beta,Low,High,MMA,MMA,OTC,Began,Survived,ROA
Aircastle Limited,AYR,Industrials,Trading Companies & Distributors,8,550,-,-,20.84,5.76,0.3000,4,1.20,C15,0.2800,11-29-18,12-14-18,7.14,7.5 ,8.2 ,10.4 ,(2.4),n/a,0.326,,48.19,8.37,12,2.49,0.90,2.11,0.83,10.30,-4.30,-29.68,31.90,9.33,"1,570",1.6,2.38,7.8 ,16.2 ,(44.4),1.15,1.16,1.27,1.39,1.52,6.50,31.2,1.71 ,32.3,-13.6,12.3,3.4,,2012,0,2.7
Alamo Group Inc,ALG,Industrials,Machinery,5,861,-,-,86.13,0.56,0.1200,4,0.48,A15,0.1100,1-16-19,1-29-19,9.09,10.0 ,11.2 ,9.5 ,6.2 ,1.514 ,0.666,,8.01,14.38,12,5.99,2.18,1.02,2.03,12.70,34.90,10.54,14.20,6.60,"1,020",0.4,0.20,(4.4),10.0 ,13.9 ,0.48,0.53,0.57,0.60,0.64,2.83,3.3,0.83 ,18.8,-27.7,7.0,-5.3,,2015,0,8.5
Alaska Air Group Inc.,ALK,Industrials,Airlines,7,670,-,-,63.95,2.19,0.3500,4,1.40,C08,0.3200,2-15-19,3-7-19,9.38,6.7 ,17.0 ,45.0 ,n/a,n/a,2.091,,34.15,15.60,12,4.10,2.41,1.00,2.08,21.60,-10.80,11.33,21.50,6.46,"8,170",0.1,0.54,31.5 ,47.1 ,20.1 ,1.29,1.42,1.51,1.61,1.72,7.56,11.8,0.92 ,11.6,-14.5,-0.9,0.1,,2013,0,7.1
Alexander's Inc.,ALX,Real Estate,Equity Real Estate Investment Trusts (REITs),5,784,-,-,333.06,5.40,4.5000,4,18.00,B15,4.2500,1-26-18,2-15-18,5.88,5.9 ,8.7 ,10.4 ,n/a,n/a,1.015,,142.63,26.39,12,12.62,n/a,7.22,5.72,12.90,-6.90,n/a,10.20,n/a,"1,690",58.7,3.90,(10.6),15.8 ,159.0 ,18.18,18.73,19.29,19.87,20.46,96.52,29.0,0.44 ,12.6,-17.1,7.2,-5.3,,2014,0,2.6
Alexandria Real Estate Equities Inc.,ARE,Real Estate,Equity Real Estate Investment Trusts (REITs),9,419,-,-,131.71,2.95,0.9700,4,3.88,A15,0.9300,12-28-18,1-15-19,4.30,6.4 ,6.6 ,8.0 ,1.5 ,5.412 ,0.741,,93.49,31.74,12,4.15,317.45,10.82,2.02,8.40,179.50,-46.18,10.80,0.10,"13,920",1.6,0.84,(20.8),11.0 ,68.8 ,4.03,4.07,4.07,4.07,4.08,20.32,15.4,0.88 ,20.8,0.9,9.0,6.1,,2011,0,4
Allegion plc,ALLE,Industrials,Building Products,5,796,-,-,85.86,0.98,0.2100,4,0.84,C29,0.1600,3-14-18,3-29-18,31.25,31.3 ,28.1 ,n/a,n/a,n/a,n/a,"Ireland, US$",22.11,22.59,12,3.80,2.02,3.08,13.67,63.60,43.50,10.30,7.70,11.18,"8,170",0.1,2.43,n/a,n/a,270.5 ,0.92,1.02,1.12,1.23,1.35,5.64,6.6,1.22 ,16.3,-9.0,1.4,3.0,,2014,0,11.8
Allete Inc.,ALE,Utilities,Electric Utilities,8,455,N,N,76.94,2.91,0.5600,4,2.24,C01,0.5350,2-14-18,3-1-18,4.67,4.7 ,3.5 ,3.3 ,2.7 ,1.251 ,0.858,,92.18,31.66,12,2.43,5.28,2.92,1.87,7.40,-0.50,7.51,3.90,6.00,"4,060",0.2,0.72,(25.4),6.3 ,62.2 ,2.26,2.43,2.58,2.73,2.90,12.90,16.8,0.27 ,15.5,-7.1,-0.4,0.7,,2011,0,3
Allstate Corp.,ALL,Financials,Insurance,8,480,Y,Y,87.87,2.09,0.4600,4,1.84,A02,0.3700,3-2-18,4-2-18,24.32,21.5 ,14.0 ,11.8 ,0.7 ,18.183 ,1.427,,21.00,10.03,12,8.76,0.70,0.75,1.43,17.30,49.50,12.66,8.30,14.32,"30,300",0.3,0.30,3.9 ,13.9 ,(20.2),1.93,2.12,2.33,2.56,2.82,11.75,13.4,0.81 ,14.1,-14.5,4.1,-5.6,,2011,0,3.2
Altra Industrial Motion Corp.,AIMC,Industrials,Machinery,7,578,-,-,30.61,2.22,0.1700,4,0.68,A06,0.1500,6-14-17,7-6-17,13.33,6.3 ,8.0 ,14.9 ,n/a,n/a,1.403,2018 = Year 7,44.16,19.88,12,1.54,1.31,2.06,2.13,12.90,54.50,17.72,10.60,15.10,"1,920",0.6,0.61,(2.8),17.1 ,37.2 ,0.75,0.82,0.91,1.00,1.10,4.57,14.9,1.87 ,30.1,-42.6,8.5,-19.3,,2013,0,5.7
Amdocs Limited,DOX,Information Technology,IT Services,7,597,-,-,55.88,1.79,0.2500,4,1.00,A20,0.2200,3-29-18,4-20-18,13.64,13.5 ,13.4 ,13.3 ,n/a,n/a,n/a,"Channel Isles,US$",39.84,22.26,9,2.51,3.18,1.96,2.26,10.00,-15.30,6.36,-0.10,7.00,"7,780",4.8,0.00,(7.2),15.1 ,49.5 ,0.98,1.04,1.11,1.19,1.28,5.61,10.0,0.59 ,6.2,-22.1,-7.2,-13.5,,2012,0,6.5
Ameren Corp,AEE,Utilities,Multi-Utilities,5,859,-,-,69.34,2.74,0.4750,4,1.90,C30,0.4575,12-11-18,12-31-18,3.83,3.9 ,3.7 ,2.9 ,(3.1),n/a,0.531,,55.39,20.22,12,3.43,2.62,2.73,2.21,9.30,3.30,-3.13,5.50,7.70,"17,140",0.5,1.15,(14.6),5.7 ,40.9 ,1.91,1.93,2.08,2.24,2.41,10.56,15.2,0.33 ,33.6,-2.3,2.9,10.0,,2014,0,2.6
American Assets Trust Inc.,AAT,Real Estate,Equity Real Estate Investment Trusts (REITs),8,555,-,-,42.94,2.61,0.2800,4,1.12,C21,0.2700,12-12-18,12-27-18,3.70,3.8 ,4.8 ,5.1 ,n/a,n/a,0.083,,260.47,99.86,12,0.43,33.60,6.07,2.48,2.40,-13.40,20.00,61.20,3.00,"2,000",0.8,1.56,(92.2),7.7 ,231.8 ,1.10,1.21,1.25,1.28,1.32,6.17,14.4,0.33 ,40.2,0.2,5.6,12.9,,2012,0,0.9
American Campus Communities,ACC,Real Estate,Equity Real Estate Investment Trusts (REITs),6,718,-,-,46.02,4.00,0.4600,4,1.84,B26,0.4400,5-11-18,5-25-18,4.55,4.6 ,4.8 ,5.1 ,3.0 ,1.690 ,3.204,,216.47,54.14,12,0.85,3.09,7.31,1.80,3.00,-25.00,-5.10,1.60,17.62,"6,310",0.7,0.85,(45.0),9.1 ,108.1 ,1.84,1.86,2.04,2.25,2.47,10.45,22.7,0.40 ,33.3,-0.8,7.5,11.1,,2013,0,1.5
American Electric Power Co.,AEP,Utilities,Electric Utilities,9,401,N,N,79.12,3.39,0.6700,4,2.68,C08,0.6200,11-8-18,12-10-18,8.06,5.9 ,5.6 ,5.3 ,4.4 ,1.207 ,0.660,,68.37,20.18,12,3.92,3.52,2.44,2.05,10.30,206.90,6.43,8.10,5.74,"39,500",0.2,1.31,(11.5),8.7 ,35.6 ,2.78,2.96,3.13,3.31,3.50,15.69,19.8,0.13 ,26.2,-2.4,3.6,10.3,,2011,0,2.9
American Express Company,AXP,Financials,Consumer Finance,7,634,Y,Y,102.70,1.52,0.3900,4,1.56,B10,0.3500,10-4-18,11-9-18,11.43,9.9 ,9.4 ,10.9 ,7.2 ,1.513 ,1.220,,21.28,14.01,12,7.33,1.12,2.12,4.11,16.40,5.40,10.23,8.90,12.50,"88,120",0.3,5.91,(1.6),12.4 ,60.0 ,1.52,1.67,1.84,2.02,2.22,9.27,9.0,1.12 ,17.3,-10.3,0.6,0.3,,2012,0,1.8
American Tower Corp.,AMT,Real Estate,Equity Real Estate Investment Trusts (REITs),9,415,-,-,172.84,1.94,0.8400,4,3.36,A27,0.7900,12-26-18,1-14-19,6.33,14.0 ,18.5 ,22.3 ,n/a,n/a,2.124,RecDat Streak,128.74,66.22,12,2.61,9.19,10.87,14.24,19.90,32.70,23.15,10.50,7.20,"76,200",0.2,3.97,(42.0),24.2 ,547.4 ,3.31,3.64,3.90,4.19,4.49,19.53,11.3,0.64 ,32.6,0.8,6.2,15.9,,2011,0,3.5
Amerisafe Inc.,AMSF,Financials,Insurance,6,700,-,-,59.41,1.48,0.2200,4,0.88,C23,0.2000,3-8-18,3-23-18,10.00,10.0 ,13.6 ,22.4 ,n/a,n/a,1.590,,25.66,17.32,12,3.43,1.73,2.99,2.49,12.10,-24.60,-11.64,14.10,10.00,"1,130",0.5,0.00,6.6 ,23.9 ,38.4 ,0.89,0.90,0.99,1.09,1.19,5.05,8.5,0.53 ,20.9,-7.5,2.8,2.4,,2013,0,3.5
Ames National Corp.,ATLO,Financials,Banks,8,494,-,-,25.14,3.66,0.2300,4,0.92,B15,0.2200,4-30-18,5-15-18,4.55,4.6 ,5.3 ,7.6 ,(2.0),n/a,7.632,25¢ Spec-5/15,51.40,14.04,12,1.79,n/a,4.87,1.39,8.90,-5.40,n/a,1.00,n/a,233,0.4,0.00,(2.8),11.3 ,(6.9),0.92,0.95,0.98,1.00,1.03,4.88,19.4,0.58 ,2.6,-21.8,-4.3,-11.9,,2011,0,1.1
Amgen Inc.,AMGN,Health Care,Biotechnology,9,438,Y,Y,187.11,3.10,1.4500,4,5.80,C08,1.3200,2-14-19,3-8-19,9.85,14.8 ,18.7 ,22.9 ,n/a,n/a,1.593,,47.82,15.43,12,12.13,3.69,5.17,8.41,12.60,7.30,2.55,14.40,4.18,"120,550",0.2,2.40,10.6 ,26.0 ,140.1 ,5.67,5.81,6.05,6.31,6.57,30.40,16.2,1.34 ,14.6,-11.0,-4.1,-2.2,,2011,0,3.1
Amphenol Corp.,APH,Information Technology,"Electronic Equipment, Instruments & Components",7,614,-,-,87.92,1.05,0.2300,4,0.92,A10,0.1900,6-15-18,7-10-18,21.05,25.4 ,17.7 ,26.7 ,39.5 ,0.675 ,1.853,,22.22,21.24,12,4.14,2.44,3.22,6.59,18.50,27.00,9.24,14.40,8.70,"26,420",0.1,0.81,6.5 ,27.7 ,149.4 ,0.92,1.01,1.10,1.19,1.30,5.52,6.3,0.87 ,17.3,-9.9,6.1,-0.3,,2012,0,7.5
Andeavor Logistics LP,ANDX,Energy,"Oil, Gas & Consumable Fuels",8,520,-,-,35.89,11.48,1.0300,4,4.12,B15,1.0150,8-2-18,8-14-18,1.48,7.1 ,12.9 ,15.1 ,n/a,n/a,n/a,,197.13,17.17,12,2.09,1.47,2.37,2.06,17.30,11.20,18.79,-8.10,11.67,"8,740",0.4,1.18,9.4 ,26.6 ,25.4 ,4.48,4.93,5.42,5.97,6.56,27.37,76.2,1.62 ,14.0,-31.8,1.0,-16.4,,2011,0,6.3
Anthem Inc.,ANTM,Health Care,Health Care Providers & Services,9,443,-,-,303.00,1.06,0.8000,4,3.20,C23,0.7500,3-15-19,3-29-19,6.67,11.1 ,6.3 ,14.9 ,n/a,n/a,3.233,,24.50,23.20,12,13.06,1.30,0.86,2.70,16.40,10.80,12.42,4.60,17.88,"78,630",0.1,0.67,(7.3),15.9 ,66.9 ,3.30,3.63,3.99,4.39,4.83,20.15,6.6,0.84 ,40.6,-1.0,12.4,17.7,,2011,0,6.2
Aon plc,AON,Financials,Insurance,7,601,-,-,156.23,1.02,0.4000,4,1.60,B15,0.3600,4-30-18,5-15-18,11.11,10.6 ,10.7 ,18.0 ,10.0 ,1.793 ,n/a,"ADR-UK,US$",34.93,34.11,12,4.58,2.24,3.44,8.94,16.50,-36.40,12.74,-0.80,15.22,"37,510",0.1,1.54,(15.1),19.0 ,268.2 ,1.58,1.73,1.91,2.10,2.31,9.62,6.2,0.93 ,15.9,-6.2,2.0,5.5,,2012,0,2.9
Apartment Investment & Management Co.,AIV,Real Estate,Equity Real Estate Investment Trusts (REITs),8,454,-,-,49.52,3.07,0.3800,4,1.52,B28,0.3600,2-15-18,2-28-18,5.56,5.6 ,8.8 ,9.6 ,(4.5),n/a,0.254,,n/a,n/a,12,-0.15,n/a,7.79,3.88,55.60,-135.80,-96.11,37.90,7.10,"7,760",0.2,1.82,n/a,12.7 ,n/a,1.54,1.55,1.66,1.78,1.90,8.43,17.0,0.64 ,30.4,-0.4,8.2,14.5,,2011,0,14.6
Apogee Enterprises Inc.,APOG,Industrials,Building Products,8,568,-,-,34.07,2.05,0.1750,4,0.70,B14,0.1575,2-4-19,2-20-19,11.11,12.5 ,12.7 ,11.8 ,7.6 ,1.563 ,0.377,,26.12,12.71,2,2.68,0.85,0.66,1.79,15.20,-11.90,12.14,31.40,15.00,926,1.4,0.44,1.2 ,13.9 ,0.6 ,0.64,0.70,0.77,0.85,0.93,3.88,11.4,1.59 ,29.2,-33.0,3.4,-17.8,,2012,0,7.6
Apollo Bancorp Inc.,APLO,Financials,Banks,8,554,-,-,44.00,4.64,0.5100,4,2.04,B31,0.5000,12-17-18,12-21-18,2.00,1.5 ,1.9 ,3.1 ,1.8 ,1.741 ,n/a,,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.7 ,n/a,2.06,2.12,2.19,2.25,2.32,10.94,24.9,n/a,n/a,n/a,n/a,n/a,OTC,2012,0,n/a
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",7,603,-,-,166.44,1.75,0.7300,4,2.92,B18,0.6300,5-11-18,5-17-18,15.87,14.6 ,11.6 ,10.8 ,n/a,n/a,0.657,,24.03,13.70,9,12.15,1.05,3.01,7.46,48.70,32.60,11.54,16.50,13.00,"799,180",0.1,1.07,(1.1),12.6 ,113.1 ,3.10,3.41,3.75,4.13,4.54,18.94,11.4,1.08 ,17.2,-28.7,1.8,-13.1,,2012,0,16
Aramark Services Inc.,ARMK,Consumer Discretionary,"Hotels, Restaurants & Leisure",5,851,-,-,32.95,1.34,0.1100,4,0.44,B30,0.1050,11-23-18,12-6-18,4.76,2.7 ,6.3 ,n/a,n/a,n/a,n/a,,33.85,25.35,9,1.30,2.26,0.51,2.68,19.90,-12.30,13.23,31.10,11.20,"8,120",1.0,2.39,n/a,n/a,73.8 ,0.43,0.47,0.52,0.57,0.63,2.62,8.0,1.18 ,20.4,-28.4,1.0,-12.1,,2014,0,4.2
Arbor Realty Trust Inc.,ABR,Financials,Mortgage Real Estate Investment Trusts (REITs),7,637,-,-,11.96,9.03,0.2700,4,1.08,C21,0.2500,11-14-18,11-30-18,8.00,36.1 ,19.1 ,14.4 ,(7.3),n/a,1.191,,83.08,9.20,12,1.30,1.15,2.34,1.28,14.20,27.40,-12.91,12.10,8.00,"1,010",0.2,4.85,14.2 ,23.4 ,(27.7),1.08,1.09,1.18,1.27,1.37,5.98,50.0,0.41 ,52.0,-6.2,6.1,9.5,,2012,0,2.3
Argo Group International Holdings Ltd.,ARGO,Financials,Insurance,6,696,-,-,66.74,1.62,0.2700,4,1.08,C23,0.2348,3-6-18,3-21-18,14.99,15.0 ,15.8 ,15.7 ,n/a,n/a,n/a,"Bermuda,US$, Adj. Stk Div.",32.34,19.98,12,3.34,2.85,1.21,1.25,7.50,-79.40,45.98,-8.30,7.00,"2,240",3.5,0.32,(2.7),17.3 ,5.4 ,1.09,1.20,1.28,1.37,1.47,6.42,9.6,0.49 ,34.4,-4.7,-0.3,6.3,,2013,0,1.5
Armada Hoffler Properties Inc.,AHH,Real Estate,Equity Real Estate Investment Trusts (REITs),6,708,-,-,15.02,5.33,0.2000,4,0.80,A05,0.1900,3-27-18,4-5-18,5.26,5.3 ,5.6 ,37.6 ,n/a,n/a,n/a,,242.42,45.52,12,0.33,9.13,4.74,2.69,7.10,-36.80,4.65,-47.60,5.00,996,0.8,2.38,(2.6),43.0 ,133.3 ,0.80,0.84,0.88,0.92,0.97,4.40,29.3,0.60 ,18.0,-7.1,2.4,1.4,,2013,0,1.6
Arthur J. Gallagher & Co.,AJG,Financials,Insurance,9,441,N,Y,74.71,2.30,0.4300,4,1.72,C16,0.4100,2-28-19,3-15-19,4.88,5.1 ,3.5 ,3.2 ,2.5 ,1.281 ,0.280,,47.51,20.64,12,3.62,1.44,2.00,3.01,14.00,18.20,14.07,11.50,14.31,"13,720",0.2,0.78,(15.1),5.5 ,66.2 ,1.80,1.98,2.18,2.40,2.64,11.01,14.7,0.92 ,17.6,-5.5,0.7,4.3,,2011,0,3.9
Ashland Global Holdings Inc.,ASH,Materials,Chemicals,9,375,N,N,75.90,1.32,0.2500,4,1.00,C15,0.2250,5-31-18,6-15-18,11.11,12.6 ,9.7 ,9.9 ,8.3 ,1.192 ,n/a,,59.17,44.91,9,1.69,18.04,1.26,1.40,3.40,177.10,34.87,-25.00,2.49,"4,730",0.3,0.74,(33.7),11.2 ,67.2 ,1.07,1.18,1.21,1.24,1.27,5.97,7.9,1.33 ,17.1,-12.4,0.5,-3.2,,2010,0,1.4
Associated Banc-Corp,ASB,Financials,Banks,7,645,Y,Y,21.65,3.14,0.1700,4,0.68,C15,0.1500,11-30-18,12-17-18,13.33,24.0 ,14.8 ,13.4 ,(6.9),n/a,1.581,,38.20,12.16,12,1.78,1.31,3.22,1.04,7.60,19.40,5.07,8.50,9.33,"3,470",1.0,0.22,4.4 ,16.6 ,(25.0),0.68,0.72,0.78,0.86,0.94,3.97,18.4,1.08 ,16.8,-25.4,2.1,-14.3,,2012,0,0.8
Assured Guaranty Ltd.,AGO,Financials,Insurance,7,587,-,-,40.56,1.58,0.1600,4,0.64,C21,0.1425,3-6-18,3-21-18,12.28,12.3 ,10.1 ,9.9 ,13.5 ,0.729 ,0.159,"Bermuda,US$",13.45,8.52,12,4.76,2.84,3.88,0.67,7.20,-1.60,-31.06,62.10,3.00,"4,280",1.9,0.19,2.9 ,11.4 ,(49.6),0.65,0.65,0.67,0.69,0.71,3.38,8.3,1.10 ,20.4,-6.5,3.5,4.5,,2012,0,3.4
Autoliv Inc.,ALV,Consumer Discretionary,Auto Components,9,373,-,-,79.85,3.11,0.6200,4,2.48,C07,0.6000,5-22-18,6-7-18,3.33,3.4 ,3.5 ,4.2 ,4.4 ,0.962 ,2.114,"Sweden,US$",36.31,11.69,12,6.83,0.97,0.75,3.41,11.20,-12.50,10.16,2.00,12.02,"6,950",0.1,1.10,(4.4),7.3 ,33.1 ,2.48,2.73,3.01,3.31,3.64,15.17,19.0,1.35 ,18.7,-30.8,2.3,-13.3,,2010,0,4.4
Avalonbay Communities Inc.,AVB,Real Estate,Equity Real Estate Investment Trusts (REITs),7,594,N,N,192.92,3.05,1.4700,4,5.88,A16,1.4200,3-28-18,4-16-18,3.52,3.9 ,5.9 ,6.9 ,5.2 ,1.335 ,0.344,,98.66,32.37,12,5.96,12.74,11.68,2.56,7.90,-15.60,-8.94,20.00,2.54,"26,420",0.2,0.72,(22.4),9.9 ,91.9 ,5.89,5.95,6.10,6.25,6.41,30.60,15.9,0.60 ,26.4,0.5,5.8,9.7,,2012,0,4.4
Avery Dennison Corp.,AVY,Materials,Containers & Packaging,8,508,Y,Y,104.45,1.99,0.5200,4,2.08,C20,0.4500,6-5-18,6-20-18,15.56,14.2 ,11.2 ,12.0 ,2.1 ,5.844 ,0.445,,38.03,19.10,12,5.47,1.42,1.28,8.71,29.60,42.40,9.36,27.00,13.41,"9,120",0.1,1.78,(5.1),14.0 ,171.9 ,2.21,2.42,2.66,2.93,3.22,13.43,12.9,1.32 ,26.0,-15.5,12.9,2.9,,2011,0,6
Avnet Inc.,AVT,Information Technology,"Electronic Equipment, Instruments & Components",6,735,-,-,41.20,1.94,0.2000,4,0.80,C27,0.1900,9-7-18,9-20-18,5.26,8.3 ,5.7 ,21.1 ,n/a,n/a,n/a,,n/a,n/a,6,-0.84,n/a,0.24,1.03,-3.20,-155.80,8.45,-18.70,12.80,"4,650",1.0,0.34,n/a,23.0 ,n/a,0.79,0.85,0.94,1.03,1.14,4.75,11.5,1.24 ,22.8,-16.6,2.7,-2.5,,2013,0,-1.6
AVX Corp.,AVX,Information Technology,"Electronic Equipment, Instruments & Components",9,340,-,-,17.75,2.59,0.1150,4,0.46,B16,0.1100,11-1-17,11-16-17,4.55,3.4 ,3.1 ,5.6 ,11.1 ,0.504 ,0.173,2018 = Year 9,40.00,15.43,3,1.15,1.79,1.61,1.30,1.30,5.10,-5.06,32.40,8.60,"2,880",72.3,0.00,(7.2),8.2 ,(5.6),0.48,0.49,0.53,0.58,0.63,2.70,15.2,1.06 ,24.9,-17.4,10.8,4.1,,2011,0,1.1
B&G Foods Inc.,BGS,Consumer Staples,Food Products,8,514,-,-,26.66,7.13,0.4750,4,1.90,A30,0.4650,6-28-18,7-30-18,2.15,1.1 ,11.1 ,9.6 ,8.3 ,1.156 ,7.367,,215.91,30.30,12,0.88,n/a,1.04,2.11,22.30,-26.10,2.01,1.30,-0.30,"1,780",2.2,2.49,(13.6),16.7 ,68.6 ,1.90,1.94,1.96,1.98,2.00,9.76,36.6,0.49 ,21.2,-20.4,-9.6,-8.1,,2011,0,5.5
BancorpSouth Inc.,BXS,Financials,Banks,6,738,Y,Y,29.18,2.33,0.1700,4,0.68,A02,0.1400,9-13-18,10-1-18,21.43,14.6 ,22.0 ,49.1 ,(3.7),n/a,3.694,,30.49,13.09,12,2.23,2.61,4.48,1.36,9.30,19.10,6.00,13.30,5.00,"2,930",4.1,0.02,38.4 ,51.5 ,(11.1),0.65,0.69,0.72,0.76,0.80,3.61,12.4,1.44 ,20.1,-17.7,3.6,-8.2,,2013,0,1.1
Bank of America Corp,BAC,Financials,Banks,5,837,-,-,28.47,2.11,0.1500,4,0.60,C30,0.1200,9-6-18,9-28-18,25.00,38.5 ,39.2 ,68.3 ,(15.4),n/a,1.456,,22.99,10.91,12,2.61,0.53,4.28,1.19,8.3,16.9,11.28,46.9,20.69,285600,0.08,1.74,59.5 ,70.4 ,(24.0),0.59,0.65,0.72,0.79,0.87,3.63,12.7,1.49,25.64,-13.86,7.51,-1.59,,2014,0,0.9
